iter	Passed	Remaining
0	1	115
1	2	105
2	3	99
3	3	87
4	4	85
5	5	82
6	6	81
7	7	80
8	8	84
9	9	81
10	10	78
11	10	74
12	11	71
13	11	69
14	12	67
15	13	67
16	14	66
17	14	63
18	15	62
19	15	59
20	16	57
21	16	55
22	17	54
23	17	53
24	18	52
25	19	51
26	19	50
27	20	48
28	20	47
29	20	46
30	21	44
31	21	43
32	22	42
33	22	41
34	23	40
35	23	39
36	24	39
37	25	38
38	26	38
39	26	37
40	27	36
41	27	35
42	28	34
43	28	33
44	29	33
45	29	32
46	30	31
47	31	31
48	31	30
49	32	29
50	32	29
51	33	28
52	33	27
53	34	26
54	34	25
55	34	24
56	35	24
57	35	23
58	35	22
59	36	21
60	36	21
61	36	20
62	37	19
63	37	18
64	38	18
65	38	17
66	38	16
67	39	16
68	39	15
69	40	14
70	40	14
71	40	13
72	41	12
73	41	12
74	41	11
75	42	11
76	42	10
77	43	10
78	43	9
79	44	8
80	45	8
81	46	7
82	46	7
83	47	6
84	47	6
85	48	5
86	48	5
87	48	4
88	49	3
89	49	3
90	50	2
91	50	2
92	51	1
93	51	1
94	51	0
95	52	0
