iter	Accuracy	Logloss
0	0.8094462541	0.6599641335
1	0.8094462541	0.6298718496
2	0.8094462541	0.604962686
3	0.8094462541	0.5843811745
4	0.8094462541	0.5682465663
5	0.8094462541	0.5542611755
6	0.8094462541	0.5426592111
7	0.8094462541	0.5322269575
8	0.8094462541	0.5234659583
9	0.8094462541	0.5155129262
10	0.8094462541	0.5090756211
11	0.8094462541	0.5027817613
12	0.8094462541	0.4977394768
13	0.8094462541	0.4926256582
14	0.8094462541	0.4882128512
15	0.8094462541	0.484427475
16	0.8094462541	0.481380175
17	0.8094462541	0.478563674
18	0.8094462541	0.4770401639
19	0.8094462541	0.4748590872
20	0.8094462541	0.4735248487
21	0.8094462541	0.4724279256
22	0.8094462541	0.4705486857
23	0.8094462541	0.4689652825
24	0.8094462541	0.4670936031
25	0.8094462541	0.4663389685
26	0.8094462541	0.4647052621
27	0.8094462541	0.4639903322
28	0.8094462541	0.4630591631
29	0.8094462541	0.4622976482
30	0.8094462541	0.4608817344
31	0.8094462541	0.4601915764
32	0.8094462541	0.4594450343
33	0.8094462541	0.4588414677
34	0.8094462541	0.4584536917
35	0.8094462541	0.4576584577
36	0.8094462541	0.4563155961
37	0.8094462541	0.4555284921
38	0.8094462541	0.4544967861
39	0.8094462541	0.4542742708
40	0.8094462541	0.4536497868
41	0.8094462541	0.4524386242
42	0.8094462541	0.4518208253
43	0.8110749186	0.4510252836
44	0.8110749186	0.4504600918
45	0.8110749186	0.4503436547
46	0.8110749186	0.4494838078
47	0.8110749186	0.4488478247
48	0.8110749186	0.4481453622
49	0.8110749186	0.44728141
50	0.8110749186	0.4470217016
51	0.8110749186	0.4466090833
52	0.8110749186	0.4462350317
53	0.8110749186	0.445456703
54	0.8110749186	0.4452338849
55	0.8110749186	0.4449398419
56	0.8110749186	0.4444809616
57	0.8110749186	0.4441048555
58	0.8110749186	0.4437352112
59	0.8110749186	0.4435354448
60	0.8110749186	0.4430730646
61	0.8110749186	0.4430014955
62	0.8110749186	0.4427865633
63	0.8110749186	0.4410452007
64	0.8110749186	0.4401875043
65	0.8110749186	0.4401166332
66	0.8110749186	0.4397274692
67	0.8110749186	0.4394586683
68	0.8110749186	0.4392760489
69	0.8110749186	0.4379434783
70	0.8110749186	0.4375671407
71	0.8110749186	0.4373252726
72	0.8110749186	0.4371621979
73	0.8127035831	0.43662505
74	0.8127035831	0.4364969773
75	0.8127035831	0.4364472297
76	0.8127035831	0.4361863789
77	0.8127035831	0.4356465998
78	0.8127035831	0.4352574679
79	0.8127035831	0.4344206468
80	0.8127035831	0.4341389614
81	0.8127035831	0.4339457192
82	0.8143322476	0.4336820526
83	0.8143322476	0.4335005937
84	0.8143322476	0.432742593
85	0.8143322476	0.4317302101
86	0.8143322476	0.4313791593
87	0.8143322476	0.4312097121
88	0.8143322476	0.4306336947
89	0.8143322476	0.4305336931
90	0.8143322476	0.4290050216
91	0.8143322476	0.4287713669
92	0.8143322476	0.4286037538
93	0.8143322476	0.4283127124
94	0.8143322476	0.4281991536
95	0.8143322476	0.4272618765
