iter	Passed	Remaining
0	0	37
1	0	45
2	1	42
3	1	38
4	2	37
5	2	36
6	2	35
7	3	35
8	3	35
9	3	34
10	4	33
11	4	32
12	5	32
13	5	31
14	5	30
15	6	30
16	6	29
17	6	28
18	6	28
19	7	27
20	7	27
21	8	26
22	8	26
23	8	26
24	9	25
25	9	25
26	9	24
27	10	24
28	10	23
29	10	23
30	11	23
31	11	22
32	11	22
33	12	22
34	12	21
35	12	21
36	13	20
37	13	20
38	13	20
39	14	19
40	14	19
41	14	18
42	15	18
43	15	18
44	15	17
45	16	17
46	16	17
47	16	16
48	17	16
49	17	15
50	17	15
51	17	15
52	18	14
53	18	14
54	19	14
55	19	13
56	19	13
57	19	13
58	20	12
59	20	12
60	20	12
61	21	11
62	21	11
63	21	10
64	22	10
65	22	10
66	22	9
67	23	9
68	23	9
69	23	8
70	24	8
71	24	8
72	24	7
73	25	7
74	25	7
75	25	6
76	26	6
77	26	6
78	26	5
79	27	5
80	27	5
81	27	4
82	28	4
83	28	4
84	28	3
85	29	3
86	29	3
87	29	2
88	30	2
89	30	2
90	30	1
91	31	1
92	31	1
93	31	0
94	32	0
95	32	0
